origin,trips,location,lat,long,med_inc,internal,external,tot_VMT,per_VMT
94922,8,Bodega,38.3514,-122.9741,"$46,695 ",0,8,90,11
94923,610,Bodega Bay,38.3309,-123.0373,"$45,310 ",58,552,8951,16
94927,289,Rohnert Park,38.3396,-122.7011,"$32,476 ",6,283,1661,6
94928,8324,Rohnert Park,38.347,-122.6941,"$34,719 ",2142,6182,50177,8
94931,2246,Cotati,38.3259,-122.7048,"$35,253 ",189,2057,14818,7
94951,2196,Penngrove,38.3153,-122.6483,"$34,349 ",51,2145,17985,8
94952,9707,Petaluma,38.2403,-122.6777,"$40,815 ",2797,6910,69124,10
94953,890,Petaluma,38.2324,-122.6367,"$38,873 ",31,859,6611,8
94954,9538,Petaluma,38.2507,-122.6155,"$40,508 ",2154,7384,86429,12
94955,1562,Petaluma,38.2324,-122.6367,"$43,455 ",34,1528,17450,11
94972,1,Valley Ford,38.318,-122.9242,"$40,025 ",0,1,28,28
94975,696,Petaluma,38.2324,-122.6367,"$44,030 ",12,684,6217,9
94999,13,Petaluma,38.2675,-122.6581,"$44,030 ",0,13,85,7
95401,11907,Santa Rosa,38.4432,-122.7547,"$33,314 ",1653,10254,63303,6
95402,2591,Santa Rosa,38.4399,-122.7096,"$30,260 ",55,2536,12946,5
95403,19429,Santa Rosa,38.4822,-122.7473,"$36,184 ",3342,16087,116827,7
95404,10602,Santa Rosa,38.4405,-122.7144,"$40,423 ",1450,9152,56057,6
95405,5918,Santa Rosa,38.4386,-122.6727,"$44,181 ",733,5185,32241,6
95406,790,Santa Rosa,38.4399,-122.7096,"$29,603 ",17,773,4120,5
95407,10971,Santa Rosa,38.4089,-122.7339,"$29,506 ",2048,8923,56488,6
95409,3086,Oakmont,38.4592,-122.6393,"$43,034 ",539,2547,19443,8
95412,34,Annapolis,38.7026,-123.3539,"$31,926 ",2,32,937,29
95416,592,Boyes Hot Springs,38.3141,-122.4843,"$45,278 ",73,519,5743,11
95419,24,Camp Meeker,38.425,-122.9485,"$46,160 ",0,24,236,10
95421,220,Cazadero,38.5918,-123.1965,"$33,977 ",50,170,3222,19
95430,1,Duncans Mills,38.4538,-123.055,"$47,695 ",0,1,30,30
95431,1,Eldridge,38.3488,-122.5108,"$43,942 ",0,1,10,10
95433,226,El Verano,38.2993,-122.4867,"$45,278 ",12,214,2219,10
95436,929,Forestville,38.4923,-122.9042,"$35,435 ",168,761,7935,10
95439,558,Fulton,38.4947,-122.7761,"$37,718 ",7,551,3470,6
95441,2781,Geyserville,38.7173,-122.8834,"$43,384 ",759,2022,32802,16
95442,1469,Glen Ellen,38.3662,-122.5196,"$44,113 ",490,979,11777,12
95444,370,Graton,38.4335,-122.8676,"$38,170 ",31,339,2519,7
95446,1323,Guerneville,38.5055,-122.9965,"$31,391 ",348,975,13009,13
95448,7133,Healdsburg,38.6184,-122.862,"$39,959 ",2077,5056,63010,12
95450,115,Jenner,38.4987,-123.1974,"$45,714 ",35,80,1213,15
95452,172,Kenwood,38.4168,-122.5547,"$45,387 ",4,168,1564,9
95462,94,Monte Rio,38.4706,-123.0172,"$31,121 ",8,86,886,10
95465,302,Occidental,38.4087,-122.9954,"$45,683 ",21,281,3789,13
95471,5,Rio Nido,38.521,-122.9769,"$30,673 ",0,5,29,6
95472,6198,Sebastopol,38.3941,-122.8433,"$39,898 ",1566,4632,41833,9
95473,1046,Sebastopol,38.4022,-122.8227,"$40,484 ",36,1010,6545,6
95480,1,Stewarts Point,38.7082,-123.3478,"$46,792 ",0,1,24,24
95487,160,Vineburg,38.2725,-122.4375,"$45,278 ",5,155,2104,14
95492,5576,Windsor,38.5443,-122.8073,"$38,348 ",1687,3889,38914,10
95497,3,The Sea Ranch,38.7256,-123.4675,"$46,792 ",0,3,72,24
