start,end,trips,start_lat,start_long,end_lat,end_long,dist_miles,width
95403,95401,2042,38.4822,-122.7473,38.4432,-122.7547,2.7242175,6
95403,95492,2039,38.4822,-122.7473,38.5443,-122.8073,5.3788653,5.988483685
95403,95404,1957,38.4822,-122.7473,38.4405,-122.7144,3.3866661,5.673704415
94952,94954,1854,38.2403,-122.6777,38.2507,-122.6155,3.4508341,5.27831094
95403,95407,1700,38.4822,-122.7473,38.4089,-122.7339,5.1161879,4.687140115
95401,95403,1600,38.4432,-122.7547,38.4822,-122.7473,2.7242175,4.303262956
95407,95403,1347,38.4089,-122.7339,38.4822,-122.7473,5.1161879,3.332053743
95404,95403,1324,38.4405,-122.7144,38.4822,-122.7473,3.3866661,3.243761996
95403,94928,1289,38.4822,-122.7473,38.347,-122.6941,9.7753257,3.10940499
95407,95401,1274,38.4089,-122.7339,38.4432,-122.7547,2.6237414,3.051823417
95401,95404,1266,38.4432,-122.7547,38.4405,-122.7144,2.1888641,3.021113244
95403,95409,1244,38.4822,-122.7473,38.4592,-122.6393,6.0545328,2.936660269
95403,95405,1229,38.4822,-122.7473,38.4386,-122.6727,5.0363445,2.879078695
95401,95407,1220,38.4432,-122.7547,38.4089,-122.7339,2.6237414,2.84452975
95448,95492,1155,38.6184,-122.862,38.5443,-122.8073,5.9111147,2.595009597
94952,94928,1152,38.2403,-122.6777,38.347,-122.6941,7.4257049,2.583493282
94954,94928,1117,38.2507,-122.6155,38.347,-122.6941,7.9016463,2.449136276
95407,95404,1103,38.4089,-122.7339,38.4405,-122.7144,2.4251074,2.395393474
94954,94952,1091,38.2507,-122.6155,38.2403,-122.6777,3.4508341,2.349328215
95404,95401,1038,38.4405,-122.7144,38.4432,-122.7547,2.1888641,2.145873321
95404,95407,1029,38.4405,-122.7144,38.4089,-122.7339,2.4251074,2.111324376
95407,94928,968,38.4089,-122.7339,38.347,-122.6941,4.7894591,2
95404,95409,941,38.4405,-122.7144,38.4592,-122.6393,4.2641649,2
95401,94928,873,38.4432,-122.7547,38.347,-122.6941,7.4127244,2
95403,95472,859,38.4822,-122.7473,38.3941,-122.8433,8.0028659,2
95401,95405,854,38.4432,-122.7547,38.4386,-122.6727,4.4489886,2
95401,95492,854,38.4432,-122.7547,38.5443,-122.8073,7.542281,2
94954,95407,846,38.2507,-122.6155,38.4089,-122.7339,12.67515,2
95404,95405,838,38.4405,-122.7144,38.4386,-122.6727,2.2605502,2
95404,94928,813,38.4405,-122.7144,38.347,-122.6941,6.553089,2
95405,95404,794,38.4386,-122.6727,38.4405,-122.7144,2.2605502,2
95404,95492,777,38.4405,-122.7144,38.5443,-122.8073,8.7564621,2
94928,95407,774,38.347,-122.6941,38.4089,-122.7339,4.7894591,2
95401,95409,766,38.4432,-122.7547,38.4592,-122.6393,6.3413531,2
95403,95448,712,38.4822,-122.7473,38.6184,-122.862,11.268135,2
95492,95403,688,38.5443,-122.8073,38.4822,-122.7473,5.3788653,2
95448,95441,684,38.6184,-122.862,38.7173,-122.8834,6.9301641,2
95405,95403,683,38.4386,-122.6727,38.4822,-122.7473,5.0363445,2
95407,95492,660,38.4089,-122.7339,38.5443,-122.8073,10.162838,2
94928,95403,656,38.347,-122.6941,38.4822,-122.7473,9.7753257,2
95401,95472,638,38.4432,-122.7547,38.3941,-122.8433,5.8747911,2
95405,95409,637,38.4386,-122.6727,38.4592,-122.6393,2.3004886,2
95407,95405,634,38.4089,-122.7339,38.4386,-122.6727,3.8968484,2
95448,95403,614,38.6184,-122.862,38.4822,-122.7473,11.268135,2
94928,95404,604,38.347,-122.6941,38.4405,-122.7144,6.553089,2
94954,95403,595,38.2507,-122.6155,38.4822,-122.7473,17.516363,2
95441,95448,580,38.7173,-122.8834,38.6184,-122.862,6.9301641,2
94928,95401,579,38.347,-122.6941,38.4432,-122.7547,7.4127244,2
95403,94954,578,38.4822,-122.7473,38.2507,-122.6155,17.516363,2
